physical_cores,logical_cores,max_cpu_frequency,min_cpu_frequency,total_ram,total_available_ram,total_swap,free_swap,start_time,stop_time,time_spend,task_count,task_type,current_cpu_frequency
8,8,0.00Mhz,0.00Mhz,31.33GB,28.20GB,2.00GB,2.00GB,1620729177.77448,1620729454.259,276.484519481659,896,8,2593.92Mhz
4,4,0.00Mhz,0.00Mhz,31.33GB,28.89GB,2.00GB,2.00GB,1620729273.7059,1620729539.13289,265.426996707916,599,5,2593.92Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,19.69GB,66.50GB,66.50GB,1620729884.33714,1620730028.34897,144.011836767197,36,9,2383.94Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.19GB,2.00GB,2.00GB,1620729826.79834,1620730113.72394,286.925602197647,356,4,2593.92Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,19.59GB,66.50GB,66.50GB,1620730140.92329,1620730165.73855,24.815262556076,36,9,1938.91Mhz
4,4,0.00Mhz,0.00Mhz,31.33GB,28.88GB,2.00GB,2.00GB,1620730012.53867,1620730235.97619,223.437516927719,599,8,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620729470.49258,1620730417.16345,946.670866966248,1586,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.19GB,2.00GB,2.00GB,1620730113.78209,1620730449.09037,335.308283805847,356,3,2593.92Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,19.50GB,66.50GB,66.50GB,1620730689.65979,1620730724.50431,34.8445158004761,36,9,4300.08Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.12GB,2.00GB,2.00GB,1620730449.32038,1620730727.01042,277.690038204193,356,5,2593.92Mhz
4,4,0.00Mhz,0.00Mhz,31.33GB,28.87GB,2.00GB,2.00GB,1620730535.70774,1620730767.96544,232.257704973221,314,4,2593.92Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,19.48GB,66.50GB,66.50GB,1620730749.19071,1620730771.88389,22.6931807994843,36,9,1918.33Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,19.48GB,66.50GB,66.50GB,1620730800.22003,1620730819.95561,19.7355787754059,36,9,1400.07Mhz
4,4,0.00Mhz,0.00Mhz,31.33GB,28.87GB,2.00GB,2.00GB,1620730768.00959,1620731026.64106,258.631478786469,314,3,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.18GB,2.00GB,2.00GB,1620730992.98563,1620731083.69023,90.7045938968659,356,8,2593.92Mhz
4,4,0.00Mhz,0.00Mhz,31.33GB,28.87GB,2.00GB,2.00GB,1620731026.78014,1620731276.70872,249.928584098816,314,5,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620730417.21206,1620731340.97443,923.762371063232,1586,3,2095.08Mhz
4,4,0.00Mhz,0.00Mhz,31.33GB,28.85GB,2.00GB,2.00GB,1620731523.18344,1620731614.63316,91.4497156143188,314,8,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.22GB,2.00GB,2.00GB,1620731655.76486,1620732014.96717,359.202311754227,663,4,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620731341.12361,1620732034.41892,693.295311450958,1586,5,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.21GB,2.00GB,2.00GB,1620732015.02249,1620732388.43488,373.412388324738,663,3,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.11GB,2.00GB,2.00GB,1620732388.61738,1620732745.29954,356.682154178619,663,5,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.19GB,2.00GB,2.00GB,1620733238.81857,1620733407.19603,168.377461910248,663,8,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620733202.8131,1620733604.33768,401.524575471878,1586,8,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.19GB,2.00GB,2.00GB,1620733520.7537,1620733610.46717,89.7134711742401,140,4,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.19GB,2.00GB,2.00GB,1620733610.51574,1620733694.22245,83.7067115306854,140,3,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.10GB,2.00GB,2.00GB,1620733694.37169,1620733803.12851,108.756823062897,140,5,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.19GB,2.00GB,2.00GB,1620733911.85396,1620733947.61759,35.7636284828186,140,8,2593.92Mhz
12,12,2095.00Mhz,0.00Mhz,100.00GB,13.21GB,114.50GB,26.49GB,1620774698.10751,1620774839.50069,141.393182516098,140,3,2095.00Mhz
12,12,2095.00Mhz,0.00Mhz,100.00GB,13.27GB,114.50GB,26.46GB,1620777224.79132,1620777588.80238,364.011060237885,356,3,2095.00Mhz
4,4,0.00Mhz,0.00Mhz,31.33GB,28.84GB,2.00GB,2.00GB,1620748794.51795,1620749160.26208,365.744134187698,592,4,2593.92Mhz
4,4,0.00Mhz,0.00Mhz,31.33GB,28.83GB,2.00GB,2.00GB,1620749160.80348,1620749561.64778,400.844306468964,592,3,2593.92Mhz
4,4,0.00Mhz,0.00Mhz,31.33GB,28.82GB,2.00GB,2.00GB,1620749561.90386,1620749943.84077,381.936905145645,592,5,2593.92Mhz
4,4,0.00Mhz,0.00Mhz,31.33GB,28.81GB,2.00GB,2.00GB,1620750379.38395,1620750526.12366,146.739703655243,592,8,2593.92Mhz
